Key,en,es,ar,fr
You have to configure your system mail first.,You have to configure your system mail first.,Primero debes configurar el correo de tu sistema.,يتعين عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d’abord configurer votre messagerie système.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,"Primero, configure el campo KYC. Vaya a la página [Configuración KYC] en la barra lateral.","يُرجى إعداد حقل ""اعرف عميلك"" أولاً. انتقل إلى صفحة [إعداد KYC] من الشريط الجانبي.",Veuillez d'abord configurer le champ KYC. Accédez à la page [Configuration KYC] depuis la barre latérale.
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!,L'état des paramètres de base a été mis à jour avec succès !
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡No se encontró la configuración básica! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! يُرجى تشغيل مُبذر قاعدة البيانات.,Paramètre de base introuvable ! Veuillez exécuter le seeder de base de données.
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا يوجد تغييرات للتحديث.,Aucun changement à mettre à jour.
Image assets updated successfully!.,Image assets updated successfully!.,¡Los activos de imagen se actualizaron correctamente!.,تم تحديث أصول الصورة بنجاح!.,Les ressources d'image ont été mises à jour avec succès !
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada exitosamente!,تم تحديث معلومات SEO بنجاح!,Informations SEO mises à jour avec succès !
You can resend verification code after,You can resend verification code after,Puede volver a enviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après
seconds,seconds,artículos de segunda clase,ثواني,secondes
token,token,simbólico,الرمز المميز,jeton
wait_time,wait_time,tiempo de espera,وقت الانتظار,temps d'attente
instructions,instructions,instrucciones,تعليمات,instructions
input_fields,input_fields,campos de entrada,حقول الإدخال,champs_de_saisie
User doesn't exists!,User doesn't exists!,¡El usuario no existe!,المستخدم غير موجود!,L'utilisateur n'existe pas !
Oops! User doesn't exists,Oops! User doesn't exists,¡Uy! El usuario no existe.,عفواً! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas.
Waiting,Waiting,Espera,منتظر,En attendant
Hold,Hold,Sostener,يمسك,Prise
User already exists!,User already exists!,¡El usuario ya existe!,المستخدم موجود بالفعل!,L'utilisateur existe déjà !
Registration Failed! Something went wrong! Please try again,Registration Failed! Something went wrong! Please try again,¡Registro fallido! ¡Algo salió mal! Inténtalo de nuevo.,فشل التسجيل! حدث خطأ ما! يُرجى المحاولة مرة أخرى.,Inscription échouée ! Un problème est survenu ! Veuillez réessayer.
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès !
Successfully added money,Successfully added money,Dinero añadido con éxito,تمت إضافة الأموال بنجاح,Argent ajouté avec succès
Gpay bank list server response failed! Please try again,Gpay bank list server response failed! Please try again,¡Error al responder el servidor de la lista bancaria de Gpay! Inténtalo de nuevo.,فشل استجابة خادم قائمة بنوك Gpay! يُرجى المحاولة مرة أخرى.,Échec de la réponse du serveur de la liste des banques Gpay ! Veuillez réessayer.
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere el hash de la transacción para verificar,مطلوب تجزئة المعاملة للتحقق,Le hachage de transaction est requis pour la vérification
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de la transacción no es válido! Ingrese un hash válido.,تجزئة المعاملة غير صالحة! يُرجى إدخال تجزئة صالحة.,Le hachage de la transaction n'est pas valide ! Veuillez saisir un hachage valide.
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad añadida insuficiente. Contacte con el administrador del sistema.,الكمية المضافة غير كافية. يُرجى التواصل مع مسؤول النظام.,Quantité ajoutée insuffisante. Veuillez contacter l'administrateur système.
Payment Confirmation Success!,Payment Confirmation Success!,¡Confirmación de pago exitosa!,تم تأكيد الدفع بنجاح!,Confirmation de paiement réussie !
This section is under maintenance!,This section is under maintenance!,¡Esta sección está en mantenimiento!,هذا القسم تحت الصيانة!,Cette section est en maintenance !
Banned,Banned,Prohibido,محظور,Interdit
Enable,Enable,Permitir,يُمكَِن,Activer
Disable,Disable,Desactivar,إبطال,Désactiver
label,label,etiqueta,ملصق,étiquette
Language Name,Language Name,Nombre del idioma,اسم اللغة,Nom de la langue
Language Code,Language Code,Código de idioma,رمز اللغة,Code de langue
Type,Type,Tipo,يكتب,Taper
FIAT,FIAT,FÍAT,فيات,DÉCRET
CRYPTO,CRYPTO,CRIPTO,العملات المشفرة,CRYPTO
Symbol,Symbol,Símbolo,رمز,Symbole
Role,Role,Role,دور,Rôle
Both,Both,Ambos,كلاهما,Les deux
Sender,Sender,Remitente,مرسل,Expéditeur
Option,Option,Opción,خيار,Option
Image,Image,Imagen,صورة,Image
Subject,Subject,Sujeto,موضوع,Sujet
Active,Active,Activo,نشيط,Actif
Deactive,Deactive,Desactivar,غير نشط,Désactiver
Mnemonic,Mnemonic,Mnemotécnico,ذاكري,Mnémonique
Extended Public Key (Xpub),Extended Public Key (Xpub),Clave pública extendida (Xpub),المفتاح العام الممتد (Xpub),Clé publique étendue (Xpub)
Private Key,Private Key,Clave privada,مفتاح خاص,Clé privée
Public Address,Public Address,Dirección pública,الخطاب العام,Adresse publique
Selectable,Selectable,Seleccionable,قابلة للتحديد,Sélectionnable
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية,Mot de passe actuel
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي,Code postal
Mail From Address,Mail From Address,Dirección de correo,عنوان البريد من,Adresse de courrier de
Required,Required,Requerido,مطلوب,Requis
Categories,Categories,Categorías,فئات,Catégories
User Status,User Status,Estado del usuario,حالة المستخدم,Statut de l'utilisateur
Unverified,Unverified,Inconfirmado,غير مُتحقق,Non vérifié
2FA Verification,2FA Verification,Verificación 2FA,التحقق من 2FA,Vérification 2FA
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Inscription de l'utilisateur
Activated,Activated,Activado,تم التفعيل,Activé
Deactivated,Deactivated,Desactivado,تم إلغاء تنشيطه,Désactivé
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة,Mot de passe sécurisé
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة,Accepter la politique
Force SSL,Force SSL,Forzar SSL,فرض SSL,Forcer SSL
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني,Notification par e-mail
Title,Title,Título,عنوان,Titre
Payment Required,Payment Required,Pago requerido,الدفع مطلوب,Paiement requis
Message,Message,Mensaje,رسالة,Message
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدًا,Trop de demandes
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة,service non disponible
Register Information,Register Information,Información de registro,معلومات التسجيل,Informations d'inscription
pagination.previous,pagination.previous,paginación.anterior,الترقيم السابق,pagination.précédent
Showing,Showing,Demostración,عرض,Affichage
of,of,de,ل,de
results,results,resultados,نتائج,résultats
Register,Register,Registro,يسجل,Registre
Logout,Logout,Cerrar sesión,تسجيل الخروج,Déconnexion
Unauthorized,Unauthorized,No autorizado,غير مصرح به,Non autorisé
Forbidden,Forbidden,Prohibido,مُحرَّم,Interdit
Not Found,Not Found,Extraviado,لم يتم العثور عليه,Non trouvé
Page Expired,Page Expired,Página expirada,انتهت صلاحية الصفحة,Page expirée
Server Error,Server Error,Error del servidor,خطأ في الخادم,Erreur du serveur
